# Resolved pools list by minerstat for msOS
# Updated Mon Dec 19 14:00:37 UTC 2022
# ip,fqdn
141.95.126.31 fi.turtlecoin.herominers.com
199.247.0.216 fr.moneroocean.stream
80.240.29.156 fra.gltminer.com
45.76.89.70 frankfurt01.hashvault.pro
64.227.73.65 freshgarlicblocks.net
209.97.147.80 fullnode.quarkchain.io
5.9.193.21 gap.suprnova.cc
5.188.78.230 gate.emcd.io
213.32.53.176 geo.pool.akroma.eu
185.198.70.250 geo.pool.whalecoin.eu
103.224.212.221 gomine.pro
104.21.61.226 gpuhash.org
142.234.25.178 gpuhot.com
69.16.230.42 graft.ingest.cryptoknight.cc
207.148.153.11 graft.westcoastxmr.ca
138.197.221.255 grimm-eu.ravepool.com
138.197.221.255 grimm-us.ravepool.com
116.203.132.225 grimm.sunpool.top
185.53.177.52 grin-pool.org
162.19.139.184 grin.2miners.com
47.112.85.133 grin.antpool.com
88.99.142.163 grin.pool.minergate.com
203.107.33.230 grin.sparkpool.com
34.111.63.242 grincuckatoo31.eu.nicehash.com
34.111.63.242 grincuckatoo31.hk.nicehash.com
34.111.63.242 grincuckatoo31.usa.nicehash.com
34.111.90.158 grincuckatoo32.eu.nicehash.com
34.111.90.158 grincuckatoo32.hk.nicehash.com
34.111.90.158 grincuckatoo32.usa.nicehash.com
51.79.251.11 groestl.asia.mine.zergpool.com
198.50.168.213 groestl.eu.mine.zpool.ca
198.50.168.213 groestl.jp.mine.zpool.ca
103.249.70.7 groestl.mine.zergpool.com
193.70.35.154 groestl.mining-dutch.nl
198.50.168.213 groestl.na.mine.zpool.ca
145.239.0.106 grs.suprnova.cc
172.65.217.190 gs.poolbinance.com
63.247.147.166 guldencoin.securepayment.cc
199.247.0.216 gulf.moneroocean.stream
8.209.83.152 handshake-de.6block.com
47.88.21.234 handshake-us.6block.com
149.129.80.119 handshake.6block.com
162.55.7.43 hathor.acc-pool.pw
